 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Ano/mês processamento
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:2004-2007
"Ano/mês processamento";"Internações"
"2004";20900
"..Janeiro/2004";1947
"..Fevereiro/2004";2536
"..Março/2004";2836
"..Abril/2004";2805
"..Maio/2004";2453
"..Junho/2004";1888
"..Julho/2004";1409
"..Agosto/2004";1153
"..Setembro/2004";936
"..Outubro/2004";814
"..Novembro/2004";940
"..Dezembro/2004";1183
"2005";32432
"..Janeiro/2005";1802
"..Fevereiro/2005";2380
"..Março/2005";3363
"..Abril/2005";3734
"..Maio/2005";4081
"..Junho/2005";3506
"..Julho/2005";3612
"..Agosto/2005";2984
"..Setembro/2005";2389
"..Outubro/2005";1564
"..Novembro/2005";1387
"..Dezembro/2005";1630
"2006";32051
"..Janeiro/2006";1783
"..Fevereiro/2006";2758
"..Março/2006";3211
"..Abril/2006";3830
"..Maio/2006";4546
"..Junho/2006";4243
"..Julho/2006";3123
"..Agosto/2006";2140
"..Setembro/2006";1705
"..Outubro/2006";1374
"..Novembro/2006";1516
"..Dezembro/2006";1822
"2007";53461
"..Janeiro/2007";2379
"..Fevereiro/2007";3825
"..Março/2007";5866
"..Abril/2007";8058
"..Maio/2007";7890
"..Junho/2007";6789
"..Julho/2007";5051
"..Agosto/2007";3531
"..Setembro/2007";2614
"..Outubro/2007";2203
"..Novembro/2007";2239
"..Dezembro/2007";3016
