 Morbidade Hospitalar do SUS - por local de residência - Brasil
Internações por Ano/mês processamento
Lista Morb  CID-10: Dengue [dengue clásssico], Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Mar/2018
"Ano/mês processamento";"Internações"
"2008";77316
"..Janeiro/2008";3210
"..Fevereiro/2008";5328
"..Março/2008";9218
"..Abril/2008";15886
"..Maio/2008";15003
"..Junho/2008";10959
"..Julho/2008";6596
"..Agosto/2008";4185
"..Setembro/2008";2433
"..Outubro/2008";1576
"..Novembro/2008";1341
"..Dezembro/2008";1581
"2009";54482
"..Janeiro/2009";2466
"..Fevereiro/2009";4630
"..Março/2009";7542
"..Abril/2009";9150
"..Maio/2009";8152
"..Junho/2009";6319
"..Julho/2009";4168
"..Agosto/2009";2585
"..Setembro/2009";1634
"..Outubro/2009";1607
"..Novembro/2009";2218
"..Dezembro/2009";4011
"2010";94887
"..Janeiro/2010";6892
"..Fevereiro/2010";9292
"..Março/2010";11966
"..Abril/2010";13673
"..Maio/2010";13049
"..Junho/2010";10409
"..Julho/2010";7667
"..Agosto/2010";5372
"..Setembro/2010";4217
"..Outubro/2010";3573
"..Novembro/2010";3645
"..Dezembro/2010";5132
"2011";80435
"..Janeiro/2011";6632
"..Fevereiro/2011";8861
"..Março/2011";11747
"..Abril/2011";13735
"..Maio/2011";11549
"..Junho/2011";8267
"..Julho/2011";5469
"..Agosto/2011";3383
"..Setembro/2011";2448
"..Outubro/2011";2398
"..Novembro/2011";2627
"..Dezembro/2011";3319
"2012";51957
"..Janeiro/2012";4156
"..Fevereiro/2012";5159
"..Março/2012";6487
"..Abril/2012";7686
"..Maio/2012";7876
"..Junho/2012";5992
"..Julho/2012";4066
"..Agosto/2012";2678
"..Setembro/2012";2042
"..Outubro/2012";1556
"..Novembro/2012";1873
"..Dezembro/2012";2386
"2013";64850
"..Janeiro/2013";5026
"..Fevereiro/2013";7927
"..Março/2013";11223
"..Abril/2013";12166
"..Maio/2013";9224
"..Junho/2013";6146
"..Julho/2013";4034
"..Agosto/2013";2662
"..Setembro/2013";1850
"..Outubro/2013";1508
"..Novembro/2013";1440
"..Dezembro/2013";1644
"2014";36686
"..Janeiro/2014";2426
"..Fevereiro/2014";2853
"..Março/2014";3648
"..Abril/2014";5318
"..Maio/2014";5906
"..Junho/2014";4438
"..Julho/2014";3467
"..Agosto/2014";2147
"..Setembro/2014";1616
"..Outubro/2014";1613
"..Novembro/2014";1608
"..Dezembro/2014";1646
"2015";70535
"..Janeiro/2015";2743
"..Fevereiro/2015";5003
"..Março/2015";9057
"..Abril/2015";11973
"..Maio/2015";12795
"..Junho/2015";8809
"..Julho/2015";5411
"..Agosto/2015";3537
"..Setembro/2015";2431
"..Outubro/2015";2205
"..Novembro/2015";2571
"..Dezembro/2015";4000
"2016";64324
"..Janeiro/2016";6151
"..Fevereiro/2016";10188
"..Março/2016";12450
"..Abril/2016";12000
"..Maio/2016";8628
"..Junho/2016";5501
"..Julho/2016";2868
"..Agosto/2016";1770
"..Setembro/2016";1260
"..Outubro/2016";1197
"..Novembro/2016";1076
"..Dezembro/2016";1235
"2017";19703
"..Janeiro/2017";2198
"..Fevereiro/2017";2507
"..Março/2017";2748
"..Abril/2017";2488
"..Maio/2017";2513
"..Junho/2017";2044
"..Julho/2017";1276
"..Agosto/2017";969
"..Setembro/2017";787
"..Outubro/2017";730
"..Novembro/2017";688
"..Dezembro/2017";755
"2018";3862
"..Janeiro/2018";1060
"..Fevereiro/2018";1377
"..Março/2018";1425
